"HolderAddress","Balance","PendingBalanceUpdate"
"0x00d3616e6ceb7e33605e12530f2d58dc806372ec","1155.68335654701","No"
"0x00d4656ca6d632c6d0a2b477b4c88adc0b79b516","2.07831409","No"
"0x00d5311c6453ab30ab1cbf4af3b4a4f9b1ccae3a","4.03","No"
"0x00d8017683f7b62c8c2aa7a2a9f81e7d805e586e","64.55510543","No"
"0x00d8bd6037454105d1a3a7979a9e54f205adfdaf","90.47662452","No"
"0x00dac903fcde7f8ee85052150593bedc93b711e5","241.54581055","No"
"0x00dbbb9cc9da2eb1a2b565323729c6daf8c85f5f","20","No"
"0x00de4b444063663899fb632c907a7af5bf3594fb","1740.87339486","No"
"0x00dfe55ce3af6fb95caae90382d18c2707492622","5.72294088","No"
"0x00e2a1ee75529968bb8d9da7b1524773d032317a","212.40227273","No"
"0x00e311db4205cc3620e73772ec6c65bcd5be47f1","58.2","No"
"0x00e3ef121b19f47de8293f181f2ec50260982aad","287.80418418","No"
"0x00e5435328a5f179505b7473555eb9e2cc51b803","708.19308364","No"
"0x00e6b19fb91d5c13f3e2dab65473bc2f83b42e54","30","No"
"0x00e7a98fae8e8008689f27ede978299cb6731e80","2.03362623","No"
"0x00e9fec55aec66b9aece8e678fa8c99804afc334","15395.5","No"
"0x00ed8226f11e770034130b76ccafaec0b4304042","400","No"
"0x00ef0c1bccb4264470f49f6a0c95f702a881198b","215.432955","No"
"0x00ef30429a06df64cd36b11ac736e76c9bc1dc86","3","No"
"0x00f071f0e41e5407f72d45c0fdcad16edd662bfd","1.06","No"
"0x00f2b67b5a5ec2ff88b2be7d5a8d1a39d5929237","12207.4","No"
"0x00f301b916331109998dbaed4f95dadbcbf9e98b","400.599967461615","No"
"0x00f32b56a522e87453897e456fff5fc7e35174dd","20","No"
"0x00f59cfb14a1628b0592669828967db5d75776b8","2","No"
"0x00f5de0c967ebba4112fdefcfc06a1ec791ec407","60","No"
"0x00f5f9def839a879d517795af3f05091b14fb12b","10.8125","No"
"0x00f6ab1b412cef68e6853f9e5ff0abafc4be0edb","2.10418503","No"
"0x00f725373aedc5a16a0f5670f4aee76483ef69f0","9.772E-05","No"
"0x00f7be148dc1c04581ef4a82fc1d7cf67a95be59","1","No"
"0x00f7c4b50abe35664e5eeb8275edc48f7f137eeb","1256.7","No"
"0x00fd83a7d30c1271edb68d7958d153612c43847c","50","No"
"0x00fe4727c22603c7c57e196218434800b20f292c","10.0840751","No"
"0x010119cc2471d485b3961d870928932a13261e58","15.94394118","No"
"0x0102b040cbba30e88f93eda84562dde51e071e7e","518.38796014","No"
"0x0106958cdd70b1a20a6dac37bea61a4394050941","41.76011905","No"
"0x01099604c2493058ea5024ee835b8083a98726ee","562.59547386","No"
"0x010f523649a146f3e1d3984988cb319bd3738517","5.31792686","No"
"0x01117faea8e9aed607d95d56b1b57d5cdb267e60","8.79751837","No"
"0x0111dbbdf7e096043faaa1e84da015c4b3d7aad4","1E-15","No"
"0x0112da358ad0d8dfaa5c34f91a5eab31b8b4ad50","1.53202478","No"
"0x0113c4f51ede67cef260523c0e158376e973d912","1.024E-15","No"
"0x01157ff72a100e9da3070df783ff1577fac514e9","177","No"
"0x0119b30f1a17080b0fce0a53a236c44ba6815310","0.777777777777778","No"
"0x011c3e09d2455f3337e0d5787c337cf59f99d701","325.572641364155","No"
"0x011e3358827c01ef90fdfdf6094f447ba9cb393a","1","No"
"0x012700c81c5e19b12258ca00f4b7b4348a3bbdbb","40.595","No"
"0x012867a89c790b32519c8a80fe3d32afb4770f3a","0.5015312","No"
"0x012afeb8ef826a627c1380be74753c5fc84cd1ce","39.3","No"
"0x012c5ce2ece8d479ebda004d10317e95ddf712e5","26.77250351","No"
"0x012e6391720376217632a260a35621aabef03aa4","484.35187603","No"
"0x01335647fb8250b15f454ac4903106e1a8d4028f","481.8","No"
"0x0138106dc89f54c1d296701f0986e7e2f9d8df97","4","No"
